question_id,system_declared,system_code,discipline_code,discipline_name,topic_declared,subtopic_declared,learning_objective_declared,keywords,difficulty_declared,integrative_declared,integrated_disciplines_declared,clinical_correlation_declared,has_image,editorial_status,curricular_mapping_status,medical_audit_status
CB-ANAT-001,CARDIO,CARDIO,ANAT,Anatomia,Circulação coronariana,Dominância coronariana,"Dominância direita: a coronária direita origina a descendente posterior e irriga a parede inferior do ventrículo esquerdo e os nós, explicando infarto inferior e bradiarritmias.",coronária direita | dominância coronariana | interventricular posterior | parede inferior | nó atrioventricular,intermediaria,False,,False,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-002,NERV,NERV,ANAT,Anatomia,Vias motoras,Trato corticoespinhal e decussação,"O trato corticoespinhal decussa nas pirâmides do bulbo, então cada hemisfério comanda o lado oposto; lesão acima da decussação dá déficit contralateral.",trato corticoespinhal | decussação das pirâmides | contralateral | bulbo | via motora,intermediaria,False,,True,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-003,RESP,RESP,ANAT,Anatomia,Árvore brônquica,Brônquio principal direito,"Brônquio principal direito é mais curto, largo e vertical, então a aspiração vai mais ao pulmão direito.",brônquio principal direito | carina | aspiração | árvore brônquica | anatomia respiratória,basica,False,,True,True,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-004,DIG,DIG,ANAT,Anatomia,Circulação porta,Veia porta hepática,"Sangue do intestino vai primeiro ao fígado pela veia porta (metabolismo de primeira passagem), antes da circulação sistêmica.",veia porta | fígado | primeira passagem | circulação esplâncnica | drenagem venosa,intermediaria,True,ANAT | FISI,False,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-005,LOCO,LOCO,ANAT,Anatomia,Nervos do membro superior,Nervo radial e úmero,Fratura da diáfise do úmero pode lesar o nervo radial (sulco do úmero) e causar mão caída (perda da extensão do punho).,nervo radial | úmero | mão caída | extensores do punho | membro superior,basica,False,,True,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-006,NERV,NERV,ANAT,Anatomia,Nervos cranianos,Paralisia facial central e periférica,"A testa tem inervação cortical bilateral: lesão central poupa a testa; lesão periférica (facial) acomete toda a hemiface, inclusive a testa.",nervo facial | paralisia central | paralisia periférica | inervação bilateral | testa,avancada,True,ANAT | SEMIO,True,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-007,CARDIO,CARDIO,ANAT,Anatomia,Circulacao,Fluxo pelas camaras,"Trajeto do sangue: atrio direito, tricuspide, VD, pulmonar, pulmoes, atrio esquerdo, mitral, VE, aortica, aorta.",circulacao | camaras cardiacas | valvas | fluxo sanguineo | coracao,basica,False,,False,True,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-008,DIG,DIG,ANAT,Anatomia,Vias biliares,Trajeto da bile,"Bile: ductos hepaticos, ducto hepatico comum, une ao cistico, coledoco e duodeno.",vias biliares | coledoco | ducto cistico | vesicula biliar | bile,basica,False,,False,True,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-009,NERV,NERV,ANAT,Anatomia,Nervos do membro superior,Nervo mediano e tunel do carpo,"Sindrome do tunel do carpo: compressao do nervo mediano no punho, com parestesia do polegar ao anular e piora noturna.",nervo mediano | tunel do carpo | parestesia | punho | membro superior,intermediaria,True,ANAT | SEMIO,True,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
CB-ANAT-010,RESP,RESP,ANAT,Anatomia,Pulmoes,Lobos pulmonares,"Pulmao esquerdo tem dois lobos (coracao ocupa espaco, incisura cardiaca); o direito tem tres.",lobos pulmonares | incisura cardiaca | pulmao esquerdo | fissuras | mediastino,basica,False,,False,False,draft,PENDENTE_VALIDACAO_SEMANTICA,LEGADO_NAO_AUDITADO
